test_image,best_train_match,ransac_inliers,verdict,above_threshold_25,score_provenance
hypodontia-839-_JPG.rf.07c56dd122da3977f850a8c5e5e06d6c.jpg,hypodontia-1117-_JPG.rf.497330048d126bc838204d53f8e32c94.jpg,234,duplicate,yes,original_run
hypodontia-754-_JPG.rf.dba369d6ee8f88979bb0f5715e7cc66f.jpg,hypodontia-615-_JPG.rf.350969093d11b33fd077542b02324e05.jpg,227,duplicate,yes,original_run
caries-261-_jpeg.rf.623ec90aee4fe47314e16d6e76f52c47.jpg,caries-2117-_jpeg.rf.0d4742df1c10fd5e285f083a0baaba8a.jpg,225,duplicate,yes,original_run
hypodontia-925-_JPG.rf.4107e48dbdbe0ea363c95c222563bcf2.jpg,hypodontia-923-_JPG.rf.942e1dda3e145809c2789b455be0a5ad.jpg,223,duplicate,yes,original_run
caries-869-_jpeg.rf.31f00ffb88dd09f60b164bc213d144bd.jpg,caries-752-_jpeg.rf.136a880e3dd34b7e41266c8ad0e46b7f.jpg,210,duplicate,yes,original_run
gingilagi-251-_jpg.rf.e40005febfa4b347eecd2cce2e44a0e5.jpg,gingilagi-252-_jpg.rf.d1451cc40181cdd37a597a0fb7af9e0d.jpg,209,duplicate,yes,original_run
tooth_discolation-215-_jpeg.rf.a2af1a95254c64981a6fdf72766065c7.jpg,tooth_discolation-556-_jpeg.rf.e4bf02b7088d3f07ee8c6222773b0e2b.jpg,209,duplicate,yes,original_run
tooth_discolation-1327-_jpeg.rf.a4a4d9f5faf8217b5089a61bf0a2910b.jpg,tooth_discolation-715-_jpeg.rf.808bf849162652cbe14ac5f84a4a5e75.jpg,204,duplicate,yes,original_run
hypodontia-1119-_JPG.rf.2cc48a8786609c37e93ec6398ec62157.jpg,hypodontia-7-_JPG.rf.e93862d877f4feea90a76ca910cf4732.jpg,203,duplicate,yes,original_run
caries-1565-_jpeg.rf.60e97b6b1e92e6bcde2d2f9c6088bb9d.jpg,caries-1515-_jpeg.rf.2e624f28c1851f5d92ff0f74ae44fc58.jpg,202,duplicate,yes,original_run
ulcer-1237-_jpeg.rf.4c5ba84d5011b2a382a93153534e9cbd.jpg,ulcer-531-_jpeg.rf.bd2433c213acbd378b7aaed1660bc115.jpg,198,duplicate,yes,original_run
