test_image,train_image,rms_distance,test_source,train_source
gingivitis-142-_jpg.rf.80f56a19b4f3535a90415dc4c7049939.jpg,gingivitis-2230-_jpg.rf.1f4bfeb032dbfe7554013459588691bd.jpg,1.3722,gingivitis-142-_jpg,gingivitis-2230-_jpg
gingi-370-copy_jpg.rf.92d7ec04e3249bd35e99e8220b705333.jpg,gingi-541-copy_jpg.rf.6a3e6460f610c9ee1457331bd5a0828d.jpg,1.3793,gingi-370-copy_jpg,gingi-541-copy_jpg
hypodontia-82-_JPG.rf.d31cab7aef76b1f64345a995e1bed755.jpg,hypodontia-1194-_JPG.rf.c43fc77860c4aec8d1d71a1fa56f2eba.jpg,1.3863,hypodontia-82-_JPG,hypodontia-1194-_JPG
hypodontia-95-_JPG.rf.6141f9bd3c2d98be99dd7c39299c1a25.jpg,hypodontia-1207-_JPG.rf.0b5e0a8995f6fa496d3e7235d00941a3.jpg,1.5799,hypodontia-95-_JPG,hypodontia-1207-_JPG
hypodontia-35-_JPG.rf.49b797b874fef284677b1b507d40de67.jpg,hypodontia-1147-_JPG.rf.c21f9d41fb1449edd42eb47fdd0bd50c.jpg,1.6044,hypodontia-35-_JPG,hypodontia-1147-_JPG
calculus-67-_jpg.rf.32b585f4a71e64286423fc5085177045.jpg,calculus-1219-_jpg.rf.ed5acf06497ebf4ff5bd7c4ade38a591.jpg,1.6069,calculus-67-_jpg,calculus-1219-_jpg
hypodontia-42-_JPG.rf.059aed5b8810981fcf7a8d28fc86127d.jpg,hypodontia-1154-_JPG.rf.6e75de80ca42abe533146df475a37730.jpg,1.6310,hypodontia-42-_JPG,hypodontia-1154-_JPG
calculus-84-_jpg.rf.68ff425ee218674f71c587d703c5493a.jpg,gingivitis-2174-_jpg.rf.5aa27756b1a42a7b7dba40bf1e399f3b.jpg,1.6979,calculus-84-_jpg,gingivitis-2174-_jpg
hypodontia-1121-_JPG.rf.cb9dec9281375c847251f16b4d591eba.jpg,hypodontia-9-_JPG.rf.8dc8421a1bbaa226d13dadea3c21518b.jpg,1.7105,hypodontia-1121-_JPG,hypodontia-9-_JPG
calculus-1177-_jpg.rf.21165275da55e604b595b3133e038842.jpg,calculus-25-_jpg.rf.2266f57c07d42c8cc15d86ee4b5d626f.jpg,1.8066,calculus-1177-_jpg,calculus-25-_jpg
hypodontia-1114-_JPG.rf.a42c08df9512af73609d4effbca32703.jpg,hypodontia-2-_JPG.rf.19101da5c1d533e9241a72c780cd7e1c.jpg,1.9254,hypodontia-1114-_JPG,hypodontia-2-_JPG
gingi-485-copy_jpg.rf.14f366cc70c68e0fa67efa9f78b5c3c6.jpg,gingi-363-copy_jpg.rf.429ccbad908f3e50028bffb1bc5ffb9d.jpg,1.9961,gingi-485-copy_jpg,gingi-363-copy_jpg
hypodontia-1149-_JPG.rf.8e616af798fcacc64d25e32ea3adaa47.jpg,hypodontia-37-_JPG.rf.dae2ddadd9edea4b37dd11c0cba39698.jpg,2.1378,hypodontia-1149-_JPG,hypodontia-37-_JPG
hypodontia-16-_JPG.rf.f32bbd45d206e5de5d902d09cfdbd901.jpg,hypodontia-1128-_JPG.rf.0ff7f3d7359148f317c2bca466bcb806.jpg,2.1812,hypodontia-16-_JPG,hypodontia-1128-_JPG
gingivitis-141-_jpg.rf.5fbb79a44c4d16bf7bff18524c44d0e0.jpg,gingivitis-2229-_jpg.rf.38ea0a50d70899fad8b2b29148420f96.jpg,2.3544,gingivitis-141-_jpg,gingivitis-2229-_jpg
hypodontia-109-_jpg.rf.bebef140f35ec10992b886d763fd07b0.jpg,hypodontia-1221-_jpg.rf.dc0cf8b41e5b61f5fcb251525e55a744.jpg,2.4367,hypodontia-109-_jpg,hypodontia-1221-_jpg
hypodontia-30-_JPG.rf.5dd87faf05ed72e998642e6c501f0e34.jpg,hypodontia-1142-_JPG.rf.082e8b1170230a64db78bcc1168f724d.jpg,2.5472,hypodontia-30-_JPG,hypodontia-1142-_JPG
hypodontia-38-_JPG.rf.7fc395053b2299173d43f056c29ae222.jpg,hypodontia-1150-_JPG.rf.5fe607b8cec1bb410cc2f45f171abd1c.jpg,2.6948,hypodontia-38-_JPG,hypodontia-1150-_JPG
calculus-36-_jpg.rf.b37f19215913f040aab538064df7de82.jpg,calculus-1188-_jpg.rf.d936ade59525b119ae7725eb63546559.jpg,2.7670,calculus-36-_jpg,calculus-1188-_jpg
calculus-221-_jpg.rf.63b1893be99add0607d23c4abf0ab244.jpg,-349_jpg.rf.3b23a23611a5f28971d3a436366e040f.jpg,2.8973,calculus-221-_jpg,-349_jpg
